note_source note,title,identifier_PPNanalog,recordIdentifier,classification,dateIssued,accessCondition_use and reproduction,accessCondition_restriction on access,form_material,form_form,extent,coordinates,identifier_ark,subject,canton,documentType,fileUrl,iiifUrl,roleTerm_code,namePart_family,namePart_given,displayForm_personal,topic,state,geographic
"NOB-Güterzug am Nordende des zweiten Zuger Bahnhofes am nördlichen Ende des Auszugsgleis im Unterfeld. Drei Eisenbahnangestellte - ein Rangierarbeiter, ein Güterbahnhofarbeiter und ein Zügführer. Hinter Lokomotive am Horizont die Baarburg. Datierung: Anfänge des Bahnhofes und wohl Teil einer Serie über den am 1. Juni 1897 eröffneten Bahnhof (z.B. TD_23_03611)",NOB kurzer Güterzug am Nordende Bahnhof Zug mit 3 Bahnangestellten,TF_GP_00002,BibZug_TD_23_00002,Bibliothek Zug#Glasplatten,1897-1900,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Verkehr,4x4,"47.18604132321729, 8.517235125628236",ark:/63274/bz1b161,Alltag,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00002/800/0/TD_23_00002.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00002/files/images/TD_23_00002.jpg'}],,,,,,,
Portrait von Karl Muther Junior sitzend auf einer Parkbank am Rauchen mit einem Zigarettenhalter.,Karl Muther Junior auf einer Parkbank mit Zigarette,TF_GP_00003,BibZug_TD_23_00003,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Portrait,6x9,,ark:/63274/bz16b3t,private Fotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00003/800/0/TD_23_00003.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00003/files/images/TD_23_00003.jpg'}],pht,Muther,Karl Senior,"Muther, Karl Senior",,,
Eine Prozession mit einem Baldachin begleitet von einer Gruppe von Soldaten.,Prozession mit Soldaten,TF_GP_00009,BibZug_TD_23_00009,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,6x9,,ark:/63274/bz1dt88,Volkskunde,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00009/800/0/TD_23_00009.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00009/files/images/TD_23_00009.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Eine Prozession mit einem Baldachin begleitet von einer Gruppe Soldaten.,Prozession mit Soldaten,TF_GP_00010,BibZug_TD_23_00010,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,6x9,,ark:/63274/bz19173,Volkskunde,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00010/800/0/TD_23_00010.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00010/files/images/TD_23_00010.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
,Ruelle des Maçons in Fribourg,TF_GP_00011,BibZug_TD_23_00011,Bibliothek Zug#Glasplatten,ca. 1899-1900,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,6x9,,ark:/63274/bz15b22,,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00011/800/0/TD_23_00011.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00011/files/images/TD_23_00011.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",Architektur,,
"Fassade und Eingang zum Hotel Continental, der genaue Ort ist unbekannt.",Eingang des Hotel Continental,TF_GP_00012,BibZug_TD_23_00012,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,6x9,,ark:/63274/bz11j04,Reise,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00012/800/0/TD_23_00012.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00012/files/images/TD_23_00012.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
,Bau eines Torbogens; Standort unbekannt,TF_GP_00018,BibZug_TD_23_00018,Bibliothek Zug#Glasplatten,1896,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Architektur,6x9,,ark:/63274/bz18452,Ortsbild,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00018/800/0/TD_23_00018.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00018/files/images/TD_23_00018.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Eine Gruppe Bergsteiger auf einem Gipfel am posieren, im Hintergrund ist eventuell Joseph Maria Weber-Strebel selbst zu sehen.",Bergsteiger auf einem Gipfel,TF_GP_00080,BibZug_TD_23_00080,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Genrefotografie,"8,5x10",,ark:/63274/bz1wj15,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00080/800/0/TD_23_00080.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00080/files/images/TD_23_00080.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Eine Familie mit zwei Kindern am Wandern vor einem Berghang, im Hintergrund ist auf dem Bergkamm eventuell das Restaurant Rossberg-Kulm beim Wildspitz zu erkennen.",Eine Familie vor einem leicht verschneiten Berghang,TF_GP_00081,BibZug_TD_23_00081,Bibliothek Zug#Glasplatten,1888 - 1898,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1rt79,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00081/800/0/TD_23_00081.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00081/files/images/TD_23_00081.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Ein Paar mit Wanderausrüstung vor einer Scheune oder Berghütte, eventuell in der Nähe des Wildspitzes",Ein Paar mit Wanderausrüstung,TF_GP_00082,BibZug_TD_23_00082,Bibliothek Zug#Glasplatten,1888 - 1898,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1n164,private Fotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00082/800/0/TD_23_00082.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00082/files/images/TD_23_00082.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
