title,id,coordinates,source_system_url,image_url,iiif_url
NOB kurzer Güterzug am Nordende Bahnhof Zug mit 3 Bahnangestellten,BibZug_TD_23_00002,"47.18604132321729, 8.517235125628236",https://n2t.net/ark:/63274/bz1b161,https://zentralgut.ch/content/BibZug_TD_23_00002/800/0/TD_23_00002.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00002/pages/1/manifest
Karl Muther Junior auf einer Parkbank mit Zigarette,BibZug_TD_23_00003,,https://n2t.net/ark:/63274/bz16b3t,https://zentralgut.ch/content/BibZug_TD_23_00003/800/0/TD_23_00003.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00003/pages/1/manifest
Prozession mit Soldaten,BibZug_TD_23_00009,,https://n2t.net/ark:/63274/bz1dt88,https://zentralgut.ch/content/BibZug_TD_23_00009/800/0/TD_23_00009.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00009/pages/1/manifest
Prozession mit Soldaten,BibZug_TD_23_00010,,https://n2t.net/ark:/63274/bz19173,https://zentralgut.ch/content/BibZug_TD_23_00010/800/0/TD_23_00010.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00010/pages/1/manifest
Ruelle des Maçons in Fribourg,BibZug_TD_23_00011,,https://n2t.net/ark:/63274/bz15b22,https://zentralgut.ch/content/BibZug_TD_23_00011/800/0/TD_23_00011.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00011/pages/1/manifest
Eingang des Hotel Continental,BibZug_TD_23_00012,,https://n2t.net/ark:/63274/bz11j04,https://zentralgut.ch/content/BibZug_TD_23_00012/800/0/TD_23_00012.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00012/pages/1/manifest
Bau eines Torbogens; Standort unbekannt,BibZug_TD_23_00018,,https://n2t.net/ark:/63274/bz18452,https://zentralgut.ch/content/BibZug_TD_23_00018/800/0/TD_23_00018.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00018/pages/1/manifest
Bergsteiger auf einem Gipfel,BibZug_TD_23_00080,,https://n2t.net/ark:/63274/bz1wj15,https://zentralgut.ch/content/BibZug_TD_23_00080/800/0/TD_23_00080.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00080/pages/1/manifest
Eine Familie vor einem leicht verschneiten Berghang,BibZug_TD_23_00081,,https://n2t.net/ark:/63274/bz1rt79,https://zentralgut.ch/content/BibZug_TD_23_00081/800/0/TD_23_00081.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00081/pages/1/manifest
Ein Paar mit Wanderausrüstung,BibZug_TD_23_00082,,https://n2t.net/ark:/63274/bz1n164,https://zentralgut.ch/content/BibZug_TD_23_00082/800/0/TD_23_00082.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00082/pages/1/manifest
Personen vor mehreren Hütten,BibZug_TD_23_00084,,https://n2t.net/ark:/63274/bz1cj10,https://zentralgut.ch/content/BibZug_TD_23_00084/800/0/TD_23_00084.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00084/pages/1/manifest
Ausblick über einen Gletscher,BibZug_TD_23_00085,,https://n2t.net/ark:/63274/bz17t8j,https://zentralgut.ch/content/BibZug_TD_23_00085/800/0/TD_23_00085.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_00085/pages/1/manifest
